"title","mail","summary"
"Påminnelse om virtuelt møte om innovasjon","Hei, dette er en påminnelse om vårt kommende virtuelle møte om innovasjon som finner sted i morgen. Vennligst sjekk e-posten din for lenken til møtet og pass på å delta på tid. Ta en titt og gi oss beskjed hvis du har noen spørsmål.","Påminnelse om virtuelt møte om innovasjon i morgen og oppfordring til å sjekke e-posten for lenke og delta på tid."
"Invitasjon til teambuilding","Hei, vi vil gjerne invitere deg til vårt kommende teambuilding-arrangement som finner sted neste måned. Dette vil gi oss muligheten til å forbedre samarbeidet og kommunikasjonen i teamet vårt. Ta en titt og gi oss beskjed hvis du kan delta.","Invitasjon til teambuilding-arrangement og varsling om formålet om å forbedre samarbeid og kommunikasjon i teamet."
"Påminnelse om møtetidspunkt","Hei, dette er en påminnelse om tidspunktet for vårt kommende møte. Vennligst sjekk tidsplanen for informasjon om møtested og agenda. Ta en titt og gi oss beskjed hvis du har noen spørsmål.","Påminnelse om tidspunkt for møte og varsling om sjekk av tidsplan for informasjon om møtested og agenda."
"Bekreftelse på påmelding til møte","Hei Astrid, dette er en bekreftelse på din påmelding til vårt kommende møte. Vi ser frem til å diskutere viktige saker og tar imot dine innspill. Ta en titt og gi oss beskjed hvis du har noen spørsmål.","Bekreftelse på påmelding til møte og varsling om forventet deltakelse."
"Påminnelse om frist for innsending av presentasjon","Hei, dette er en påminnelse om fristen for innsending av presentasjon for vårt kommende møte. Vennligst send inn presentasjonen din innen fristen slik at vi kan evaluere den i tide. Ta en titt og gi oss beskjed hvis du har noen spørsmål.","Påminnelse om frist for innsending av presentasjon for møte og oppfordring til å sende inn i tide."
"Endring i møtetidspunkt","Hei Laila, dette er en melding om en endring i tidspunktet for vårt kommende møte. Møtet vil nå finne sted to timer senere enn tidligere planlagt. Ta en titt og gi oss beskjed hvis dette skaper noen problemer for deg.","Varsling om endring i tidspunkt for møte og oppfordring til å gi beskjed hvis det skaper problemer."
"Innkalling til prosjektmøte","Hei, dette er en innkalling til vårt neste prosjektmøte som finner sted om to uker. Vi vil diskutere fremdrift og eventuelle utfordringer i prosjektet vårt. Ta en titt og gi oss beskjed hvis du kan delta.","Innkalling til prosjektmøte og varsling om diskusjon om fremdrift og utfordringer i prosjektet."
"Tidsplan og sted for møte","Hei, dette er en påminnelse om vårt kommende møte. Vennligst se vedlagt tidsplan og sted for informasjon om møtested og agenda. Ta en titt og gi oss beskjed hvis du har noen spørsmål.","Påminnelse om møte og varsling om vedlagt tidsplan og sted for informasjon om møtested og agenda."
"Bekreftelse på endring av møtested","Hei Endre, dette er en bekreftelse på endringen av møtestedet for vårt kommende møte. Møtet vil nå finne sted i konferanserommet i 3. etasje. Ta en titt og gi oss beskjed hvis dette skaper noen problemer for deg.","Bekreftelse på endring i møtested for kommende møte og oppfordring til å gi beskjed hvis det skaper problemer."
"Tilbakemelding etter møte angående markedsføring","Hei Nicolai, dette er en tilbakemelding etter vårt siste møte angående markedsføring. Vi vil takke for din deltakelse og diskusjoner, og vi vil ta hensyn til dine innspill når vi tar beslutninger. Ta en titt og gi oss beskjed hvis du har noen spørsmål.","Tilbakemelding etter møte om markedsføring og takk for deltakelse og innspill."
"Påminnelse om virtuelt møte om innovasjon","Hei, dette er en påminnelse om vårt kommende virtuelle møte om innovasjon som finner sted i morgen. Vennligst sjekk e-posten din for lenken til møtet og pass på å delta på tid. Ta en titt og gi oss beskjed hvis du har noen spørsmål.","Påminnelse om virtuelt møte om innovasjon i morgen og oppfordring til å sjekke e-posten for lenke og delta på tid."
"Innkalling til styremøte","Hei, dette er en innkalling til vårt neste styremøte som vil finne sted neste uke. Vi vil diskutere viktige saker som gjelder bedriften vår. Ta en titt og gi oss beskjed hvis du kan delta.","Innkalling til styremøte og varsling om diskusjon av viktige saker som gjelder bedriften."
"Påminnelse om møtetidspunkt","Hei, dette er en påminnelse om tidspunktet for vårt kommende møte. Vennligst sjekk tidsplanen for informasjon om møtested og agenda. Ta en titt og gi oss beskjed hvis du har noen spørsmål.","Påminnelse om tidspunkt for møte og varsling om sjekk av tidsplan for informasjon om møtested og agenda."
"Bekreftelse på påmelding til konferanse","Hei Andreas, dette er en bekreftelse på din påmelding til konferansen som vi diskuterte tidligere. Vi ser frem til å se deg der. Ta en titt og gi oss beskjed hvis du har noen spørsmål.","Bekreftelse på påmelding til konferanse og varsling om forventet deltakelse."
"Påminnelse om frist for innsending av rapport","Hei, dette er en påminnelse om fristen for innsending av rapport for vårt kommende møte. Vennligst send inn rapporten din innen fristen slik at vi kan evaluere den i tide. Ta en titt og gi oss beskjed hvis du har noen spørsmål.","Påminnelse om frist for innsending av rapport for møte og oppfordring til å sende inn i tide."
"Endring i møtetidspunkt","Hei Jan, dette er en melding om en endring i tidspunktet for vårt kommende møte. Møtet vil nå finne sted to timer senere enn tidligere planlagt. Ta en titt og gi oss beskjed hvis dette skaper noen problemer for deg.","Varsling om endring i tidspunkt for møte og oppfordring til å gi beskjed hvis det skaper problemer."
"Innkalling til avdelingsmøte","Hei, dette er en innkalling til vårt neste avdelingsmøte som vil finne sted neste uke. Vi vil diskutere viktige saker som gjelder vår avdeling. Ta en titt og gi oss beskjed hvis du kan delta.","Innkalling til avdelingsmøte og varsling om diskusjon av viktige saker som gjelder avdelingen."
"Påminnelse om møtetidspunkt","Hei, dette er en påminnelse om tidspunktet for vårt kommende møte. Vennligst sjekk tidsplanen for informasjon om møtested og agenda. Ta en titt og gi oss beskjed hvis du har noen spørsmål.","Påminnelse om tidspunkt for møte og varsling om sjekk av tidsplan for informasjon om møtested og agenda."
"Bekreftelse på påmelding til opplæringskurs","Hei Jan, dette er en bekreftelse på din påmelding til opplæringskurset som vi diskuterte tidligere. Vi ser frem til å se deg der. Ta en titt og gi oss beskjed hvis du har noen spørsmål.","Bekreftelse på påmelding til opplæringskurs og varsling om forventet deltakelse."
"Påminnelse om frist for innsending av prosjektrapport","Hei, dette er en påminnelse om fristen for innsending av prosjektrapporten for vårt kommende møte. Vennligst send inn rapporten din innen fristen slik at vi kan evaluere den i tide. Ta en titt og gi oss beskjed hvis du har noen spørsmål.","Påminnelse om frist for innsending av prosjektrapport for møte og oppfordring til å sende inn i tide."
"Endring i møtested","Hei Laila, dette er en melding om en endring i møtestedet for vårt kommende møte. Møtet vil nå finne sted i kantina. Ta en titt og gi oss beskjed hvis dette skaper noen problemer for deg.","Varsling om endring i møtested for møte og oppfordring til å gi beskjed hvis det skaper problemer."
"Invitasjon til forskningsseminar","Hei, dette er en invitasjon til vårt kommende forskningsseminar om kunstig intelligens. Vi vil ha flere foredragsholdere og diskutere ulike temaer i løpet av seminaret. Ta en titt på programmet og gi oss beskjed hvis du ønsker å delta.","Invitasjon til forskningsseminar om kunstig intelligens og oppfordring til å delta."
"Påminnelse om innsending av forskningsartikkel","Hei John, dette er en påminnelse om fristen for innsending av din forskningsartikkel til vår kommende konferanse. Vennligst send inn artikkelen din innen fristen slik at vi kan evaluere den i tide. Ta en titt og gi oss beskjed hvis du har noen spørsmål.","Påminnelse om frist for innsending av forskningsartikkel til konferanse og oppfordring til å sende inn i tide."
"Bekreftelse på mottatt søknad om forskningsmidler","Hei Marius, dette er en bekreftelse på at vi har mottatt søknaden din om forskningsmidler. Vi vil evaluere søknaden og gi deg beskjed så snart som mulig. Ta en titt og gi oss beskjed hvis du har noen spørsmål.","Bekreftelse på mottatt søknad om forskningsmidler og varsling om evaluering."
"Varsling om endringer i forskningsprosjektet","Hei, dette er en melding om endringer i vårt forskningsprosjekt om nervesystemet. Vi vil inkludere flere deltakere og justere noen av metodene vi bruker. Ta en titt og gi oss beskjed hvis du har noen spørsmål.","Varsling om endringer i forskningsprosjektet og oppfordring til å gi beskjed hvis det er spørsmål."
"Tilbakemelding etter forskningsmøte","Hei Kristian, dette er en tilbakemelding etter vårt siste forskningsmøte. Vi vil takke for din deltakelse og diskusjoner, og vi vil ta hensyn til dine innspill når vi tar beslutninger. Ta en titt og gi oss beskjed hvis du har noen spørsmål.","Tilbakemelding etter forskningsmøte og takk for deltakelse og innspill."
"Invitasjon til karriereveiledningsseminar","Hei, dette er en invitasjon til vårt neste karriereveiledningsseminar som vil finne sted neste måned. Vi vil ha flere foredragsholdere og diskutere ulike temaer knyttet til karriereutvikling. Ta en titt på programmet og gi oss beskjed hvis du ønsker å delta.","Invitasjon til karriereveiledningsseminar og oppfordring til å delta."
"Påminnelse om frist for jobbsøknad","Hei Henrik, dette er en påminnelse om fristen for å sende inn din jobbsøknad til stillingen vi har utlyst. Vennligst send inn søknaden din innen fristen slik at vi kan evaluere den i tide. Ta en titt og gi oss beskjed hvis du har noen spørsmål.","Påminnelse om frist for jobbsøknad og oppfordring til å sende inn i tide."
"Bekreftelse på mottatt søknad om stilling","Hei Jon, dette er en bekreftelse på at vi har mottatt søknaden din om stillingen som daglig leder. Vi vil evaluere søknaden og gi deg beskjed så snart som mulig. Ta en titt og gi oss beskjed hvis du har noen spørsmål.","Bekreftelse på mottatt søknad om stilling og varsling om evaluering."
"Varsling om endring i ansettelsesprosess","Hei, dette er en melding om en endring i ansettelsesprosessen for stillingen som konsulent. Vi vil inkludere flere intervjuer og justere noen av metodene vi bruker. Ta en titt og gi oss beskjed hvis du har noen spørsmål.","Varsling om endring i ansettelsesprosess for stilling og oppfordring til å gi beskjed hvis det er spørsmål."
"Tilbakemelding etter intervju","Hei Kristian, dette er en tilbakemelding etter intervjuet du hadde med oss. Vi vil takke for din deltakelse og interesse, og vi vil gi deg beskjed om utfallet så snart som mulig. Ta en titt og gi oss beskjed hvis du har noen spørsmål.","Tilbakemelding etter intervju og takk for deltakelse og interesse."
"Invitasjon til markedsføringskonferanse","Hei, dette er en invitasjon til vår kommende markedsføringskonferanse som vil finne sted neste måned. Vi vil ha flere foredragsholdere og diskutere ulike temaer knyttet til markedsføring. Ta en titt på programmet og gi oss beskjed hvis du ønsker å delta.","Invitasjon til markedsføringskonferanse og oppfordring til å delta."
"Påminnelse om betaling","Hei Kjell, dette er en påminnelse om betaling for tjenestene vi har levert til deg. Vennligst betal fakturaen din innen fristen slik at vi kan fortsette å tilby deg tjenestene våre. Ta en titt og gi oss beskjed hvis du har noen spørsmål.","Påminnelse om betaling og oppfordring til å betale i tide."
"Bekreftelse på mottatt klage","Hei Henrik, dette er en bekreftelse på at vi har mottatt klagen din angående tjenestene vi har levert. Vi vil evaluere klagen og gi deg beskjed så snart som mulig. Ta en titt og gi oss beskjed hvis du har noen spørsmål.","Bekreftelse på mottatt klage og varsling om evaluering."
"Varsling om endring i tjenester","Hei, dette er en melding om en endring i tjenestene vi tilbyr. Vi vil inkludere flere tjenester og justere noen av prisene våre. Ta en titt og gi oss beskjed hvis du har noen spørsmål.","Varsling om endring i tjenester og oppfordring til å gi beskjed hvis det er spørsmål."
"Tilbakemelding etter kundeservicehenvendelse","Hei Bjørn, dette er en tilbakemelding etter kundeservicehenvendelsen din. Vi vil takke for din henvendelse og gi deg beskjed om at vi jobber med å løse problemet ditt. Ta en titt og gi oss beskjed hvis du har noen spørsmål.","Tilbakemelding etter kundeservicehenvendelse og takk for henvendelse og tålmodighet."
"Invitasjon til webinar om bærekraft","Hei, dette er en invitasjon til vårt kommende webinar om bærekraftig forretningsdrift som vil finne sted neste uke. Vi vil ha flere foredragsholdere og diskutere ulike temaer knyttet til bærekraftig forretningspraksis. Ta en titt på programmet og gi oss beskjed hvis du ønsker å delta.","Invitasjon til webinar om bærekraft og oppfordring til å delta."
"Påminnelse om avtale om levering av varer","Hei Dag, dette er en påminnelse om vår avtale om levering av varer til deg. Vennligst gi oss beskjed hvis det er noen endringer i leveringsplanen. Ta en titt og gi oss beskjed hvis du har noen spørsmål.","Påminnelse om avtale om levering av varer og oppfordring til å gi beskjed om eventuelle endringer."
"Bekreftelse på mottatt bestilling","Hei Tobias, dette er en bekreftelse på at vi har mottatt bestillingen din av Logitech musematte. Vi vil behandle bestillingen og gi deg beskjed så snart som mulig. Ta en titt og gi oss beskjed hvis du har noen spørsmål.","Bekreftelse på mottatt bestilling og varsling om behandling."
